,temp
2018-03-20 00:00:00+00,3.47
2018-03-20 03:00:00+00,3.01
2018-03-20 06:00:00+00,2.56
2018-03-20 09:00:00+00,3.87
2018-03-20 12:00:00+00,5.06
2018-03-20 15:00:00+00,6.33
2018-03-20 18:00:00+00,4.58
2018-03-20 21:00:00+00,2.72
2018-03-21 00:00:00+00,1.28
2018-03-21 03:00:00+00,-0.26
2018-03-21 06:00:00+00,-1.75
2018-03-21 09:00:00+00,2.79
2018-03-21 12:00:00+00,5.31
2018-03-21 15:00:00+00,6.11
2018-03-21 18:00:00+00,2.06
2018-03-21 21:00:00+00,-1.17
2018-03-22 00:00:00+00,-1.16
2018-03-22 03:00:00+00,-1.84
2018-03-22 06:00:00+00,-2.51
2018-03-22 09:00:00+00,2.1
2018-03-22 12:00:00+00,3.95
2018-03-22 15:00:00+00,4.61
2018-03-22 18:00:00+00,1.26
2018-03-22 21:00:00+00,-2.25
2018-03-23 00:00:00+00,-3.58
2018-03-23 03:00:00+00,-3.96
2018-03-23 06:00:00+00,-4.06
2018-03-23 09:00:00+00,3.25
2018-03-23 12:00:00+00,6.41
2018-03-23 15:00:00+00,6.47
2018-03-23 18:00:00+00,3.99
2018-03-23 21:00:00+00,2.25
2018-03-24 00:00:00+00,1.84
2018-03-24 03:00:00+00,0.43
2018-03-24 06:00:00+00,0.63
2018-03-24 09:00:00+00,4.38
2018-03-24 12:00:00+00,5.46
2018-03-24 15:00:00+00,5.72
2018-03-24 18:00:00+00,4.62
2018-03-24 21:00:00+00,3.79
